Tree	Node A-form	Node B-form	Node C-form	Node D-form	Node E-form	Node F-form	Node G-form	Node H-form	Node I-form	Node J-form	Node K-form	Node L-form	Node M-form	Node N-form	Node O-form	Node P-form	Node Q-form	Node R-form	Node S-form	Node T-form	Node U-form	Node V-form	Node W-form	Node X-form	Node Y-form	Node Z-form	Node A1-form	Node B1-form	Node C1-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node	MI	MI3	Dice	logDice	t-score	simple-LL
tako <advmod strastno >conj (tako <advmod globoko)	tako	strastno	tako	globoko																										1	3.7	ABCD	"pattern {B [form=""strastno""]; A [form=""tako""]; D [form=""globoko""]; C [form=""tako""]; B -[advmod]-> A; B -[conj]-> D; D -[advmod]-> C; B >> A; B << D; D >> C} without {B -> X0} without {A -> X1} without {D -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22strastno%22%5D%3B%20A%20%5Bform%3D%22tako%22%5D%3B%20D%20%5Bform%3D%22globoko%22%5D%3B%20C%20%5Bform%3D%22tako%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20-%5Bconj%5D-%3E%20D%3B%20D%20-%5Badvmod%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20D%3B%20D%20%3E%3E%20C%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BD%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	strastno	30.66	30.66	0.00	5.62	1.00	16.46
tako <advmod surovo	tako	surovo																												1	3.7	AB	"pattern {B [form=""surovo""]; A [form=""tako""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22surovo%22%5D%3B%20A%20%5Bform%3D%22tako%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	surovo	7.08	7.08	0.00	5.63	0.99	2.28
tako <advmod težko	tako	težko																												1	3.7	AB	"pattern {B [form=""težko""]; A [form=""tako""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22te%C5%BEko%22%5D%3B%20A%20%5Bform%3D%22tako%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	težko	2.81	2.81	0.00	5.52	0.86	-0.02
tako <advmod visoko	tako	visoko																												1	3.7	AB	"pattern {B [form=""visoko""]; A [form=""tako""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22visoko%22%5D%3B%20A%20%5Bform%3D%22tako%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	visoko	3.54	3.54	0.00	5.57	0.91	0.30
tako <advmod vrhunsko	tako	vrhunsko																												1	3.7	AB	"pattern {B [form=""vrhunsko""]; A [form=""tako""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22vrhunsko%22%5D%3B%20A%20%5Bform%3D%22tako%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	vrhunsko	7.67	7.67	0.00	5.64	1.00	2.63
tako <advmod zanesenjaško	tako	zanesenjaško																												1	3.7	AB	"pattern {B [form=""zanesenjaško""]; A [form=""tako""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zanesenja%C5%A1ko%22%5D%3B%20A%20%5Bform%3D%22tako%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	zanesenjaško	8.67	8.67	0.00	5.64	1.00	3.22
tako <advmod zlahka >conj (in <cc (kar <advmod preveč) <advmod gladko)	tako	zlahka	in	kar	preveč	gladko																								1	3.7	ABCDEF	"pattern {B [form=""zlahka""]; A [form=""tako""]; F [form=""gladko""]; C [form=""in""]; E [form=""preveč""]; D [form=""kar""]; B -[advmod]-> A; B -[conj]-> F; F -[cc]-> C; F -[advmod]-> E; E -[advmod]-> D; B >> A; B << F; F >> C; F >> E; E >> D} without {B -> X0} without {A -> X1} without {F -> X2} without {C -> X3} without {E -> X4} without {D -> X5}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zlahka%22%5D%3B%20A%20%5Bform%3D%22tako%22%5D%3B%20F%20%5Bform%3D%22gladko%22%5D%3B%20C%20%5Bform%3D%22in%22%5D%3B%20E%20%5Bform%3D%22preve%C4%8D%22%5D%3B%20D%20%5Bform%3D%22kar%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20-%5Bconj%5D-%3E%20F%3B%20F%20-%5Bcc%5D-%3E%20C%3B%20F%20-%5Badvmod%5D-%3E%20E%3B%20E%20-%5Badvmod%5D-%3E%20D%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20F%3B%20F%20%3E%3E%20C%3B%20F%20%3E%3E%20E%3B%20E%20%3E%3E%20D%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BF%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BE%20-%3E%20X4%7D%20without%20%7BD%20-%3E%20X5%7D	6	zlahka	48.70	48.70	0.00	3.80	1.00	27.32
tako <advmod čarobno	tako	čarobno																												1	3.7	AB	"pattern {B [form=""čarobno""]; A [form=""tako""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22%C4%8Darobno%22%5D%3B%20A%20%5Bform%3D%22tako%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	čarobno	8.67	8.67	0.00	5.64	1.00	3.22
tako <cc:preconj doma >conj (kot <cc v <case tujini)	tako	doma	kot	v	tujini																									1	3.7	ABCDE	"pattern {B [form=""doma""]; A [form=""tako""]; E [form=""tujini""]; C [form=""kot""]; D [form=""v""]; B -[cc:preconj]-> A; B -[conj]-> E; E -[cc]-> C; E -[case]-> D; B >> A; B << E; E >> C; E >> D} without {B -> X0} without {A -> X1} without {E -> X2} without {C -> X3} without {D -> X4}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22doma%22%5D%3B%20A%20%5Bform%3D%22tako%22%5D%3B%20E%20%5Bform%3D%22tujini%22%5D%3B%20C%20%5Bform%3D%22kot%22%5D%3B%20D%20%5Bform%3D%22v%22%5D%3B%20B%20-%5Bcc%3Apreconj%5D-%3E%20A%3B%20B%20-%5Bconj%5D-%3E%20E%3B%20E%20-%5Bcc%5D-%3E%20C%3B%20E%20-%5Bcase%5D-%3E%20D%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20E%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BE%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D	5	doma	30.61	30.61	0.00	3.51	1.00	16.43
tako <cc:preconj zasebno >conj (kot <case športno)	tako	zasebno	kot	športno																										1	3.7	ABCD	"pattern {B [form=""zasebno""]; A [form=""tako""]; D [form=""športno""]; C [form=""kot""]; B -[cc:preconj]-> A; B -[conj]-> D; D -[case]-> C; B >> A; B << D; D >> C} without {B -> X0} without {A -> X1} without {D -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zasebno%22%5D%3B%20A%20%5Bform%3D%22tako%22%5D%3B%20D%20%5Bform%3D%22%C5%A1portno%22%5D%3B%20C%20%5Bform%3D%22kot%22%5D%3B%20B%20-%5Bcc%3Apreconj%5D-%3E%20A%3B%20B%20-%5Bconj%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20D%3B%20D%20%3E%3E%20C%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BD%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	zasebno	28.88	28.88	0.00	5.22	1.00	15.39
tako <cc:preconj zelo <advmod drugače >obl (kot <case pri <case odgovorih >nmod (na <case druga <amod vprašanja))	tako	zelo	drugače	kot	pri	odgovorih	na	druga	vprašanja																					1	3.7	ABCDEFGHI	"pattern {C [form=""drugače""]; A [form=""tako""]; B [form=""zelo""]; F [form=""odgovorih""]; D [form=""kot""]; E [form=""pri""]; I [form=""vprašanja""]; G [form=""na""]; H [form=""druga""]; C -[cc:preconj]-> A; C -[advmod]-> B; C -[obl]-> F; F -[case]-> D; F -[case]-> E; F -[nmod]-> I; I -[case]-> G; I -[amod]-> H; C >> A; C >> B; C << F; F >> D; F >> E; F << I; I >> G; I >> H} without {C -> X0} without {A -> X1} without {B -> X2} without {F -> X3} without {D -> X4} without {E -> X5} without {I -> X6} without {G -> X7} without {H -> X8}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bform%3D%22druga%C4%8De%22%5D%3B%20A%20%5Bform%3D%22tako%22%5D%3B%20B%20%5Bform%3D%22zelo%22%5D%3B%20F%20%5Bform%3D%22odgovorih%22%5D%3B%20D%20%5Bform%3D%22kot%22%5D%3B%20E%20%5Bform%3D%22pri%22%5D%3B%20I%20%5Bform%3D%22vpra%C5%A1anja%22%5D%3B%20G%20%5Bform%3D%22na%22%5D%3B%20H%20%5Bform%3D%22druga%22%5D%3B%20C%20-%5Bcc%3Apreconj%5D-%3E%20A%3B%20C%20-%5Badvmod%5D-%3E%20B%3B%20C%20-%5Bobl%5D-%3E%20F%3B%20F%20-%5Bcase%5D-%3E%20D%3B%20F%20-%5Bcase%5D-%3E%20E%3B%20F%20-%5Bnmod%5D-%3E%20I%3B%20I%20-%5Bcase%5D-%3E%20G%3B%20I%20-%5Bamod%5D-%3E%20H%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%3B%20C%20%3C%3C%20F%3B%20F%20%3E%3E%20D%3B%20F%20%3E%3E%20E%3B%20F%20%3C%3C%20I%3B%20I%20%3E%3E%20G%3B%20I%20%3E%3E%20H%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BF%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D%20without%20%7BE%20-%3E%20X5%7D%20without%20%7BI%20-%3E%20X6%7D%20without%20%7BG%20-%3E%20X7%7D%20without%20%7BH%20-%3E%20X8%7D	9	drugače	78.97	78.97	0.00	4.62	1.00	45.54
tako <cc:preconj znotraj >conj (kot <cc zunaj)	tako	znotraj	kot	zunaj																										1	3.7	ABCD	"pattern {B [form=""znotraj""]; A [form=""tako""]; D [form=""zunaj""]; C [form=""kot""]; B -[cc:preconj]-> A; B -[conj]-> D; D -[cc]-> C; B >> A; B << D; D >> C} without {B -> X0} without {A -> X1} without {D -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22znotraj%22%5D%3B%20A%20%5Bform%3D%22tako%22%5D%3B%20D%20%5Bform%3D%22zunaj%22%5D%3B%20C%20%5Bform%3D%22kot%22%5D%3B%20B%20-%5Bcc%3Apreconj%5D-%3E%20A%3B%20B%20-%5Bconj%5D-%3E%20D%3B%20D%20-%5Bcc%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20D%3B%20D%20%3E%3E%20C%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BD%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	znotraj	25.35	25.35	0.00	5.19	1.00	13.26
tako >advcl (kot <mark bi <aux rekli >parataxis (čas >cop je >csubj (da <mark (s <case starih <amod legend >nmod (divjega <amod zahoda)) <obl zmečemo >obj (mitski <amod balast))))	tako	kot	bi	rekli	čas	je	da	s	starih	legend	divjega	zahoda	zmečemo	mitski	balast															1	3.7	ABCDEFGHIJKLMNO	"pattern {A [form=""tako""]; D [form=""rekli""]; B [form=""kot""]; C [form=""bi""]; E [form=""čas""]; F [form=""je""]; M [form=""zmečemo""]; G [form=""da""]; J [form=""legend""]; H [form=""s""]; I [form=""starih""]; L [form=""zahoda""]; K [form=""divjega""]; O [form=""balast""]; N [form=""mitski""]; A -[advcl]-> D; D -[mark]-> B; D -[aux]-> C; D -[parataxis]-> E; E -[cop]-> F; E -[csubj]-> M; M -[mark]-> G; M -[obl]-> J; J -[case]-> H; J -[amod]-> I; J -[nmod]-> L; L -[amod]-> K; M -[obj]-> O; O -[amod]-> N; A << D; D >> B; D >> C; D << E; E << F; E << M; M >> G; M >> J; J >> H; J >> I; J << L; L >> K; M << O; O >> N} without {A -> X0} without {D -> X1} without {B -> X2} without {C -> X3} without {E -> X4} without {F -> X5} without {M -> X6} without {G -> X7} without {J -> X8} without {H -> X9} without {I -> X10} without {L -> X11} without {K -> X12} without {O -> X13} without {N -> X14}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22tako%22%5D%3B%20D%20%5Bform%3D%22rekli%22%5D%3B%20B%20%5Bform%3D%22kot%22%5D%3B%20C%20%5Bform%3D%22bi%22%5D%3B%20E%20%5Bform%3D%22%C4%8Das%22%5D%3B%20F%20%5Bform%3D%22je%22%5D%3B%20M%20%5Bform%3D%22zme%C4%8Demo%22%5D%3B%20G%20%5Bform%3D%22da%22%5D%3B%20J%20%5Bform%3D%22legend%22%5D%3B%20H%20%5Bform%3D%22s%22%5D%3B%20I%20%5Bform%3D%22starih%22%5D%3B%20L%20%5Bform%3D%22zahoda%22%5D%3B%20K%20%5Bform%3D%22divjega%22%5D%3B%20O%20%5Bform%3D%22balast%22%5D%3B%20N%20%5Bform%3D%22mitski%22%5D%3B%20A%20-%5Badvcl%5D-%3E%20D%3B%20D%20-%5Bmark%5D-%3E%20B%3B%20D%20-%5Baux%5D-%3E%20C%3B%20D%20-%5Bparataxis%5D-%3E%20E%3B%20E%20-%5Bcop%5D-%3E%20F%3B%20E%20-%5Bcsubj%5D-%3E%20M%3B%20M%20-%5Bmark%5D-%3E%20G%3B%20M%20-%5Bobl%5D-%3E%20J%3B%20J%20-%5Bcase%5D-%3E%20H%3B%20J%20-%5Bamod%5D-%3E%20I%3B%20J%20-%5Bnmod%5D-%3E%20L%3B%20L%20-%5Bamod%5D-%3E%20K%3B%20M%20-%5Bobj%5D-%3E%20O%3B%20O%20-%5Bamod%5D-%3E%20N%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%3B%20D%20%3C%3C%20E%3B%20E%20%3C%3C%20F%3B%20E%20%3C%3C%20M%3B%20M%20%3E%3E%20G%3B%20M%20%3E%3E%20J%3B%20J%20%3E%3E%20H%3B%20J%20%3E%3E%20I%3B%20J%20%3C%3C%20L%3B%20L%20%3E%3E%20K%3B%20M%20%3C%3C%20O%3B%20O%20%3E%3E%20N%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BE%20-%3E%20X4%7D%20without%20%7BF%20-%3E%20X5%7D%20without%20%7BM%20-%3E%20X6%7D%20without%20%7BG%20-%3E%20X7%7D%20without%20%7BJ%20-%3E%20X8%7D%20without%20%7BH%20-%3E%20X9%7D%20without%20%7BI%20-%3E%20X10%7D%20without%20%7BL%20-%3E%20X11%7D%20without%20%7BK%20-%3E%20X12%7D%20without%20%7BO%20-%3E%20X13%7D%20without%20%7BN%20-%3E%20X14%7D	15	tako	NaN	NaN	NaN	NaN	NaN	NaN
tako >advcl (kot <mark jim <iobj je <aux odigral)	tako	kot	jim	je	odigral																									1	3.7	ABCDE	"pattern {A [form=""tako""]; E [form=""odigral""]; B [form=""kot""]; C [form=""jim""]; D [form=""je""]; A -[advcl]-> E; E -[mark]-> B; E -[iobj]-> C; E -[aux]-> D; A << E; E >> B; E >> C; E >> D} without {A -> X0} without {E -> X1} without {B -> X2} without {C -> X3} without {D -> X4}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22tako%22%5D%3B%20E%20%5Bform%3D%22odigral%22%5D%3B%20B%20%5Bform%3D%22kot%22%5D%3B%20C%20%5Bform%3D%22jim%22%5D%3B%20D%20%5Bform%3D%22je%22%5D%3B%20A%20-%5Badvcl%5D-%3E%20E%3B%20E%20-%5Bmark%5D-%3E%20B%3B%20E%20-%5Biobj%5D-%3E%20C%3B%20E%20-%5Baux%5D-%3E%20D%3B%20A%20%3C%3C%20E%3B%20E%20%3E%3E%20B%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BE%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D	5	tako	30.98	30.98	0.00	3.01	1.00	16.65
tako >advcl (kot <mark so <aux morali >xcomp (to <obj storiti >obl (v <case vseh <det podjetjih >acl (ki <mark so <aux šla >obl (skozi <case postopek >nmod (lastninskega <amod preoblikovanja))))))	tako	kot	so	morali	to	storiti	v	vseh	podjetjih	ki	so	šla	skozi	postopek	lastninskega	preoblikovanja														1	3.7	ABCEDFGHIJKLMNOP	"pattern {A [form=""tako""]; D [form=""morali""]; B [form=""kot""]; C [form=""so""]; F [form=""storiti""]; E [form=""to""]; I [form=""podjetjih""]; G [form=""v""]; H [form=""vseh""]; L [form=""šla""]; J [form=""ki""]; K [form=""so""]; N [form=""postopek""]; M [form=""skozi""]; P [form=""preoblikovanja""]; O [form=""lastninskega""]; A -[advcl]-> D; D -[mark]-> B; D -[aux]-> C; D -[xcomp]-> F; F -[obj]-> E; F -[obl]-> I; I -[case]-> G; I -[det]-> H; I -[acl]-> L; L -[mark]-> J; L -[aux]-> K; L -[obl]-> N; N -[case]-> M; N -[nmod]-> P; P -[amod]-> O; A << D; D >> B; D >> C; D << F; F >> E; F << I; I >> G; I >> H; I << L; L >> J; L >> K; L << N; N >> M; N << P; P >> O} without {A -> X0} without {D -> X1} without {B -> X2} without {C -> X3} without {F -> X4} without {E -> X5} without {I -> X6} without {G -> X7} without {H -> X8} without {L -> X9} without {J -> X10} without {K -> X11} without {N -> X12} without {M -> X13} without {P -> X14} without {O -> X15}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22tako%22%5D%3B%20D%20%5Bform%3D%22morali%22%5D%3B%20B%20%5Bform%3D%22kot%22%5D%3B%20C%20%5Bform%3D%22so%22%5D%3B%20F%20%5Bform%3D%22storiti%22%5D%3B%20E%20%5Bform%3D%22to%22%5D%3B%20I%20%5Bform%3D%22podjetjih%22%5D%3B%20G%20%5Bform%3D%22v%22%5D%3B%20H%20%5Bform%3D%22vseh%22%5D%3B%20L%20%5Bform%3D%22%C5%A1la%22%5D%3B%20J%20%5Bform%3D%22ki%22%5D%3B%20K%20%5Bform%3D%22so%22%5D%3B%20N%20%5Bform%3D%22postopek%22%5D%3B%20M%20%5Bform%3D%22skozi%22%5D%3B%20P%20%5Bform%3D%22preoblikovanja%22%5D%3B%20O%20%5Bform%3D%22lastninskega%22%5D%3B%20A%20-%5Badvcl%5D-%3E%20D%3B%20D%20-%5Bmark%5D-%3E%20B%3B%20D%20-%5Baux%5D-%3E%20C%3B%20D%20-%5Bxcomp%5D-%3E%20F%3B%20F%20-%5Bobj%5D-%3E%20E%3B%20F%20-%5Bobl%5D-%3E%20I%3B%20I%20-%5Bcase%5D-%3E%20G%3B%20I%20-%5Bdet%5D-%3E%20H%3B%20I%20-%5Bacl%5D-%3E%20L%3B%20L%20-%5Bmark%5D-%3E%20J%3B%20L%20-%5Baux%5D-%3E%20K%3B%20L%20-%5Bobl%5D-%3E%20N%3B%20N%20-%5Bcase%5D-%3E%20M%3B%20N%20-%5Bnmod%5D-%3E%20P%3B%20P%20-%5Bamod%5D-%3E%20O%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%3B%20D%20%3C%3C%20F%3B%20F%20%3E%3E%20E%3B%20F%20%3C%3C%20I%3B%20I%20%3E%3E%20G%3B%20I%20%3E%3E%20H%3B%20I%20%3C%3C%20L%3B%20L%20%3E%3E%20J%3B%20L%20%3E%3E%20K%3B%20L%20%3C%3C%20N%3B%20N%20%3E%3E%20M%3B%20N%20%3C%3C%20P%3B%20P%20%3E%3E%20O%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BF%20-%3E%20X4%7D%20without%20%7BE%20-%3E%20X5%7D%20without%20%7BI%20-%3E%20X6%7D%20without%20%7BG%20-%3E%20X7%7D%20without%20%7BH%20-%3E%20X8%7D%20without%20%7BL%20-%3E%20X9%7D%20without%20%7BJ%20-%3E%20X10%7D%20without%20%7BK%20-%3E%20X11%7D%20without%20%7BN%20-%3E%20X12%7D%20without%20%7BM%20-%3E%20X13%7D%20without%20%7BP%20-%3E%20X14%7D%20without%20%7BO%20-%3E%20X15%7D	16	tako	NaN	NaN	NaN	NaN	NaN	NaN
tako >advmod (ali <cc tako)	tako	ali	tako																											1	3.7	ABC	"pattern {A [form=""tako""]; C [form=""tako""]; B [form=""ali""]; A -[advmod]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22tako%22%5D%3B%20C%20%5Bform%3D%22tako%22%5D%3B%20B%20%5Bform%3D%22ali%22%5D%3B%20A%20-%5Badvmod%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	tako	7.73	7.73	0.00	4.55	1.00	2.66
tako >advmod (kot <case lani)	tako	kot	lani																											1	3.7	ABC	"pattern {A [form=""tako""]; C [form=""lani""]; B [form=""kot""]; A -[advmod]-> C; C -[case]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22tako%22%5D%3B%20C%20%5Bform%3D%22lani%22%5D%3B%20B%20%5Bform%3D%22kot%22%5D%3B%20A%20-%5Badvmod%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	tako	10.94	10.94	0.00	4.78	1.00	4.59
tako >fixed kot	tako	kot																												1	3.7	AB	"pattern {A [form=""tako""]; B [form=""kot""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22tako%22%5D%3B%20B%20%5Bform%3D%22kot%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	tako	-1.41	-1.41	0.00	4.23	-1.67	2.48
tako >obl (kot <case (na <case Hrvaškem) <nmod Hermes >flat:foreign Analitica >conj (ali <cc pa <orphan Šibenka))	tako	kot	na	Hrvaškem	Hermes	Analitica	ali	pa	Šibenka																					1	3.7	ABCDEFGHI	"pattern {A [form=""tako""]; E [form=""Hermes""]; B [form=""kot""]; D [form=""Hrvaškem""]; C [form=""na""]; F [form=""Analitica""]; I [form=""Šibenka""]; G [form=""ali""]; H [form=""pa""]; A -[obl]-> E; E -[case]-> B; E -[nmod]-> D; D -[case]-> C; E -[flat:foreign]-> F; E -[conj]-> I; I -[cc]-> G; I -[orphan]-> H; A << E; E >> B; E >> D; D >> C; E << F; E << I; I >> G; I >> H} without {A -> X0} without {E -> X1} without {B -> X2} without {D -> X3} without {C -> X4} without {F -> X5} without {I -> X6} without {G -> X7} without {H -> X8}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22tako%22%5D%3B%20E%20%5Bform%3D%22Hermes%22%5D%3B%20B%20%5Bform%3D%22kot%22%5D%3B%20D%20%5Bform%3D%22Hrva%C5%A1kem%22%5D%3B%20C%20%5Bform%3D%22na%22%5D%3B%20F%20%5Bform%3D%22Analitica%22%5D%3B%20I%20%5Bform%3D%22%C5%A0ibenka%22%5D%3B%20G%20%5Bform%3D%22ali%22%5D%3B%20H%20%5Bform%3D%22pa%22%5D%3B%20A%20-%5Bobl%5D-%3E%20E%3B%20E%20-%5Bcase%5D-%3E%20B%3B%20E%20-%5Bnmod%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20C%3B%20E%20-%5Bflat%3Aforeign%5D-%3E%20F%3B%20E%20-%5Bconj%5D-%3E%20I%3B%20I%20-%5Bcc%5D-%3E%20G%3B%20I%20-%5Borphan%5D-%3E%20H%3B%20A%20%3C%3C%20E%3B%20E%20%3E%3E%20B%3B%20E%20%3E%3E%20D%3B%20D%20%3E%3E%20C%3B%20E%20%3C%3C%20F%3B%20E%20%3C%3C%20I%3B%20I%20%3E%3E%20G%3B%20I%20%3E%3E%20H%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BE%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BD%20-%3E%20X3%7D%20without%20%7BC%20-%3E%20X4%7D%20without%20%7BF%20-%3E%20X5%7D%20without%20%7BI%20-%3E%20X6%7D%20without%20%7BG%20-%3E%20X7%7D%20without%20%7BH%20-%3E%20X8%7D	9	tako	89.76	89.76	0.00	4.25	1.00	52.04
